Student_ID,Age,Gender,Hours_Studied,Attendance,Sleep_Hours,Stress_Level,Screen_Time,Previous_GPA,Part_Time_Job,Study_Method,Diet_Quality,Internet_Quality,Extracurricular,Tutoring_Sessions_Per_Week,Family_Income_Level,Exam_Anxiety_Score,Grade,Final_Score,Hours_Bucket,Anxiety_Bucket,Study_Efficiency,Academic_Risk_Index,Engagement_Index,Wellness_Score,Learning_Efficiency
STU00001,17,Female,8.2,80.0,7.3,2.3,3.2,3.07,No,Online,Average,Average,Yes,3,High,1.8,A,87.1,8-12,Low (1-3),6.56,-3.7066666666666666,94.6,56.1,5.993809523809523
STU00002,22,Male,4.07,69.2,7.9,3.6,0.5,2.66,Yes,Offline,Average,Good,No,2,Middle,1.0,A,92.03,4-6,Low (1-3),2.8164400000000005,-3.62,59.89000000000001,58.0,7.217466666666668
STU00003,23,Female,5.07,74.2,6.7,2.6,4.7,3.27,No,Hybrid,Average,Good,No,1,Middle,4.2,A,95.37,4-6,Moderate (3-5),3.76194,-2.7066666666666666,54.89000000000001,41.4,2.908578947368421
STU00004,22,Female,5.82,82.5,3.8000000000000007,3.3,2.3,2.87,No,Offline,Average,Excellent,No,0,Middle,3.6,A,90.73,4-6,Moderate (3-5),4.8015,-2.673333333333334,50.46,10.700000000000006,5.061636363636365
STU00005,21,Male,3.42,90.8,7.4,7.0,3.1,2.82,Yes,Offline,Average,Good,No,2,Middle,4.5,B,74.71,2-4,Moderate (3-5),3.1053599999999997,-0.7733333333333334,66.58,25.5,2.352292682926829
STU00006,22,Female,5.0,82.7,6.5,9.1,3.8,3.16,No,Hybrid,Good,Average,No,1,High,1.4,A,93.98,4-6,Low (1-3),4.135000000000001,-1.5533333333333337,58.080000000000005,15.3,3.291666666666667
STU00007,17,Male,5.0,78.9,5.0,7.8,3.0,2.92,No,Online,Average,Good,Yes,1,Middle,4.2,C,64.99,4-6,Moderate (3-5),3.9450000000000003,-0.8399999999999999,64.56,-1.6000000000000014,3.65
STU00008,19,Male,1.49,77.4,6.0,6.2,4.7,2.08,No,Offline,Average,Average,Yes,0,Middle,7.1,D,49.14875000000002,0-2,Very High (7-10),1.15326,1.8399999999999999,43.43000000000001,7.700000000000003,0.543719298245614
STU00009,21,Female,7.04,95.6,6.7,3.0,2.7,3.28,No,Online,Poor,Poor,No,2,High,4.0,A,96.95,6-8,Moderate (3-5),6.730239999999999,-3.3266666666666667,79.36,40.0,6.2408648648648635
STU00010,19,Female,6.2,71.9,6.4,4.6,5.0,2.05,No,Hybrid,Average,Average,Yes,0,High,4.3,B,81.24,6-8,Moderate (3-5),4.457800000000001,0.5333333333333332,55.36000000000001,28.1,2.118333333333333
STU00011,21,Female,3.75,75.4,6.7,4.4,4.4,3.05,No,Online,Average,Average,Yes,2,Middle,6.5,B,83.59,2-4,High (5-7),2.8275,-0.9999999999999991,69.41,25.5,2.1180555555555554
